"upload_date","country_name","country_code","year","supra_reg","fishing_tech","vessel_length","geo_indicator","cluster_name","fs_name","variable_group","variable_name","variable_code","value","unit","fromtable","framework","template_name","gear","fishery","activity"
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capital","Subsidies on investments","subinvest",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1218NGI","SWE NAO INA1218 NGI *","Capital","Subsidies on investments","subinvest",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1218NGI","SWE NAO INA1218 NGI *","Income","Operating subsidies","totdirsub",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",2101402.6046,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",4693620.3958,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",3943471.1432,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",2718386.3329,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Gross value of landings","totlandginc",14607033.4346,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Gross value of landings","totlandginc",16723623.9263,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Gross value of landings","totlandginc",49526525.5469,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",3895878.8723,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Gross value of landings","totlandginc",1270645.054,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PMP","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1218NGI","SWE NAO INA1218 NGI *","Income","Gross value of landings","totlandginc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
2025-04-09,"Sweden","SWE",2009,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Income","Income from leasing out quota","totrightsinc",NA,"euro","map_fs","map","map_fs",NA,NA,NA
